"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s foi adicionado à sua lista de desejos. Clique <a href=""%2$s"">aqui</a>, para continuar compras."
"%1$s has been updated in your wishlist.","%1$s foi atualizado nos seus favoritos."
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foram adicionados ao carrinho de compras: %s."
"%s for ""%s"".","%s por ""%s""."
"%s has been moved to wishlist %s","%s foi movido para os favoritos"
"%s was added to your shopping cart.","%s foi adicionado ao seu carrinho de compras."
"%s's Wishlist","Favoritos de %s"
"* Required Fields","* Campos obrigatórios"
"Add All to Cart","Adicionar tudo ao carrinho"
"Add to Cart","Adicionar ao carrinho"
"Add to Compare","Adicionar para comparar"
"Add to Wishlist","Adicionar aos favoritos"
"Added From","Adicionado de"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar o item aos favoritos."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao adicionar o item aos favoritos: %s."
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao remover o item dos favoritos"
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao remover o item dos favoritos: %s."
"An error occurred while updating wishlist.","Ocorreu um erro ao atualizar os favoritos."
"Are you sure you want to remove this product from your wishlist?","Tema a certeza que deseja remover este produto dos favoritos?"
"Are you sure you would like to remove this item from the wishlist?","Tem a certeza que deseja remover este item dos favoritos?"
"Back","Voltar"
"Can\'t delete item from wishlist","Ocorreu um erro ao remover o item dos favoritos"
"Can\'t save description %s","Não foi possível guardar descrição: %s"
"Can\'t update wishlist","Não foi possível atualizar os favoritos."
"Cannot add item to shopping cart","Não foi possível adicionar o item ao carrinho de compras"
"Cannot add the following product(s) to shopping cart: %s.","Você não pode adicionar e (os) seguinte(s) artigo(s) do carrinho de compras: %s."
"Cannot add the item to shopping cart.","Não foi possível adicionar o item ao carrinho de compras."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Não foi possível adicionar o produto selecionado ao carrinho porque o produto foi removido dos favoritos"
"Cannot configure product","Não foi possível configurar o produto"
"Cannot load wishlist item","Não foi possível carregar item dos favoritos."
"Cannot move item to wishlist","Não foi possível mover o item para os favoritos"
"Cannot specify product.","Não foi possível especificar o produto."
"Cannot specify wishlist item.","Não foi possível especificar item dos favoritos"
"Cannot specify wishlist.","Não foi possível especificar os favoritos."
"Cannot update wishlist","Não foi possível atualizar os favoritos."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Selecione esta caixa se deseja adicionar uma ligação a um feed rss para os seus favoritos"
"Click for price","Clique para preço"
"Comment","Comentar"
"Comment:","Comentário:"
"Configure Wishlist Item","Configurar item dos favoritos."
"Configured Price:","Preço configurado:"
"Could not find such wishlist","Não foi possível encontrar essa lista dos favoritos"
"Could not find wishlist","Não foi possível encontrar lista dos favoritos"
"Customer My Account My Wishlist","Cliente a minha conta a minha favoritos"
"Customer My Account Wishlist Sharing Form","Cliente a minha conta vista partilha de favoritos"
"Customer Shared Wishlist View","Cliente vista partilha de favoritos"
"Date Added","Data adição"
"Days in Wishlist","Dias nos favoritos"
"Display Wishlist Summary","Sumário dos favoritos"
"Edit","Editar"
"Email Sender","Remetente email"
"Email Template","Template email"
"Email address can\'t be empty.","Endereço email não pode estar vazio"
"Email addresses, separated by commas","Endereços de email separados por vírgulas"
"Enabled","Ativo"
"General Options","Opções gerais"
"Go to Wishlist","Ir para favoritos"
