"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Adicionar nova classificação"
"Assigned Options","Opções atribuídas"
"Be the first to review this product","Seja o primeiro a analisar este produto"
"Default Value","Valor por omissão"
"Delete Rating","Remover classificação"
"Edit Rating","Editar classificação"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se não especificar um título de classificação para a loja, o valor por omissão será utilizado"
"Manage Ratings","Gerir classificações"
"New Rating","Nova classificação"
"Option Label","Rótulo da opção"
"Option Title","Título da opção"
"Option Title:","Título da opção:"
"Please select one of each ratings above","Por favor selecione uma das classificações acima"
"Rating Information","Informação de classificação"
"Rating Name","Nome da classificação"
"Rating Options","Opções de classificação"
"Rating Title","Título de classificação"
"Rating Visibility","Classificação visibilidade"
"Rating isn't Available","Classificação indisponível"
"Rating with the same title","Classificação com o mesmo título"
"Save Rating","Guardar classificação"
"Sort Order","Ordenação"
"Visible In","Visível em"
