"You can not print a mix of creditmemos from InvoiceXpress and locally created using this method","Não pode imprimir nótas de crédito criadas com o InvoiceXpress e o Magento na mesma operação"
"You can not print a mix of invoices from InvoiceXpress and locally created using this method","Não pode imprimir faturas criadas com o InvoiceXpress e o Magento na mesma operação"
"There are no printable documents related to selected orders.","Não existem documentos a imprimir."
"You can not print invoices from InvoiceXpress using this method","Não pode imprimir Faturas da InvoiceXpress utilizando este método"
"You can not print creditmemos from InvoiceXpress using this method","Não pode imprimir Notas de Crédito da InvoiceXpress utilizando este método"
"InvoiceXpress","InvoiceXpress"
"Configuration","Configuração"
"API KEY","API KEY"
"You can get this API Key from your account settings. ","Pode obter esta cahve nas configurações da sua conta"
"Subdomain Name","Subdomínio"
"Subdomain assigned to you. Ex: mycompany.invoicexpress.net (please insert only subdomain)","Subdomínio atribuído a si. Ex: empresa.invoicexpress.net (por favor insira apenas o subdomónio, neste exemplo: empresa)"
"Sequence","Série"
"Sequence to be used","Série a ser utilizada"
"Payment Due Date","Data Limite Pagamento"
"After how many days the document should be paid","Após quantos dias a fatura deve ser liquidada"
"Tax - Portugal Only","Tax - Apenas Portugal"
"Default Exemption Reason","Razão Isenção IVA por omissão"
"Used for when an invoice/creditmemo is automatically generated","Utilizado para faturas geradas automaticamente"
"Email Instructions","Instruções para Email"
"<![CDATA[You can use special vars to send a document download link or view link for credit memos and invoices.","<![CDATA[Pode You can use special vars to send a document download link or view link for credit memos and invoices.]]>"
"InvoiceXpress: Access Denied. Please check your auth data. Error code:","InvoiceXpress: Acesso Negado. Por favor verifique os seus dados de autenticação. Código Erro:"
"InvoiceXpress: Document/Endpoint not found. Error code:","InvoiceXpress: Documento/Caminho Não encontrado. Código Erro:"
"InvoiceXpress: General Error. Code:","InvoiceXpress: Erro Genérico. Código:"
"This order will not be processed by InvoiceXpress because your base currency must be Euro (EUR)","Esta encomenda não será processa pois a moeada base não é o Euro (EUR)"
"The item %s has a tax percent value (%d) that is not in your InvoiceXpress configured Tax. The default Tax value will be used","O item %s tem uma percentagem de imposto (%d) que não se encontra configurada na sua conta InvoiceXpress. A taxa por omissão será utilizada"
"Everyting seams ok with your configuration","Parece estar tudo OK com as suas definições"
"Something is wrong with your configuration. Please double check your info.","Erro na validação das suas definições. Por favor confirme os seus dados"
"Order","Encomenda"
"Shipping & Handling","Envio & Manuseamento"
"Same Day","Mesmo Dia"
"Use Default","Utilizar Por Omissão"
"Default","Por Omissão"
