"ALL","Todas"
"ANY","QUAISQUER"
"Add","Adicionar"
"Apply","Aplicar"
"Conditions Combination","Combinação de condições"
"Customer Groups must be specified.","Os grupos de cliente devem ser especificados."
"End Date must be greater than Start Date.","Data de término deve ser maior que data de início."
"FALSE","FALSAS"
"If %s of these conditions are %s:","Se %s as condições são %s:"
"Invalid discount amount.","Montante de desconto inválido."
"Open Chooser","Abrir navegador"
"Perform following actions","Realizar as seguintes ações"
"Please choose a condition to add...","Por favor escolha uma condição a adicionar"
"Please choose an action to add...","Por favor escolha uma ação a adicionar..."
"Remove","Remover"
"TRUE","VERDADEIRAS"
"There is no information about associated entity type ""%s"".","Não existe informação associada com a entidade do tipo ""%s""."
"Websites must be specified.","Sites tem que ser especificados"
"by","por"
"contains","contém"
"does not contain","não contém"
"does not contains","não contém"
"equals or greater than","maior ou igual a"
"equals or less than","inferior ou igual a"
"for","para"
"for greater than","para maior do que"
"for or greater than","para ou superior do que"
"found","encontrado"
"from","a partir de"
"greater than","maior que"
"is","é"
"is not","não é"
"is not one of","não é um dos"
"is one of","é um dos"
"less than","menos que"
"not found","não encontrado"
"not from","não a partir de"
"to","até"
"was","era"
"was not","não era"
