"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Resultados por página"
"%s-%s of %s","%s-%s dos %s"
"###","Catalog Module"
"Filter","Filtro"
"View Details","Ver detalhes"
"Share on Facebook","Compartilhar no Facebook"
"Share on Twitter","Compartilhar no Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Tem certeza de que deseja sair desta página? Você precisará percorrer as etapas de checkout novamente."
"Zip/Postal Code","Código postal"
"Discount Codes?","Códigos de desconto?"
"###","Customer Module"
"Registration is free and easy!","O registo é gratuito e fácil!"
"Faster checkout","Compre mais rapidamente"
"Save multiple shipping addresses","Salvar múltiplos endereços de envio"
"View and track orders and more","Ver e acompanhar pedidos e muito mais"
"###","Shipment Module"
"Item in your order","Artigo na sua encomenda"
"Items in your order","Artigos na sua encomenda"
