"Alert Email Sender","Remetente do email de notificações"
"Alert subscription has been saved.","A subscrição de alertas foi atualizada."
"Allow Alert When Product Comes Back in Stock","Permitir notificações quando o produto voltar a estar disponível"
"Allow Alert When Product Price Changes","Permitir notificações quando o preço do produto é alterado"
"Click here not to receive alerts for this product","Clique aqui para não receber notificações para este produto"
"Error Email Recipient","Email do destinatário de erros"
"Error Email Sender","Email do remetente de erros"
"Error Email Template","Template do email de erros"
"Frequency","Frequência"
"Not enough parameters.","Parâmetros insuficientes."
"Price Alert Email Template","Template de email de notificação de preços"
"Price:","Preço:"
"Product Alerts","Alertas de produto"
"Product Alerts Run Settings","Configurações de alertas de produtos"
"Product alerts Cron error","Erro de tarefas agendadas de alertas"
"Product price alert","Alerta preço produto"
"Product stock alert","Alerta disponibilidade produto"
"Regular Price:","Preço normal:"
"Sign up for price alert","Subscrever alerta de preços"
"Sign up to get notified when this product is back in stock","Subscreva para ser notificado quando este produto estiver novamente disponível"
"Special price:","Preço especial:"
"Start Time","Tempo início"
"Stock Alert Email Template","Template email do alerta de disponibilidade de produtos"
"The alert subscription has been deleted.","A subscrição de alertas foi removida."
"The alert subscription has been saved.","A subscrição de alertas foi guardada."
"The product is not found.","O produto não foi encontrado."
"The product was not found.","O produto não foi encontrado."
"Unable to update the alert subscription.","Não foi possível atualizar a subscrição de alertas."
"Unsubscribe from all price alerts","Cancelar subscrição de todos os alertas a preços"
"Unsubscribe from all stock alerts","Cancelar subscrição de todos os alertas a disponibilidade de produtos"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Está a receber esta notificação porque requereu ser notificada quando a disponibilidade dos seguintes produtos fossem alteradas:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Está a receber esta notificação porque requereu ser notificada quando os preços dos seguintes produtos fossem alterados:"
"You will no longer receive price alerts for this product.","Não irá mais receber alertas de preço para este produto."
"You will no longer receive stock alerts for this product.","Não irá mais receber alertas de quantidade para este produto."
"You will no longer receive stock alerts.","Não irá mais receber alertas de quantidade."
