"Actions","Ações"
"Add Answer","Adicionar resposta"
"Add New Answer","Adicionar nova resposta"
"Add New Poll","Adicionar nova sondagem"
"Answer Title","Título da resposta"
"Answer Title:","Título da resposta"
"Answer with the same title in this poll","Resposta com o mesmo título da sondagem"
"Are you sure you want to delete it?","Tem a certeza que deseja remover?"
"Assigned Answers","Respostas atribuídas"
"Closed","Fechado"
"Community Poll","Sondagem"
"Date Closed","Data fim"
"Date Posted","Data adição"
"Delete","Remover"
"Delete Answer","Remover resposta"
"Delete Poll","Remover sondagem"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Não permitir que votem na mesma sondagem várias vezes através do mesmo IP"
"Edit Answer '%s'","Editar resposta '%s'"
"Edit Poll '%s'","Editar sondagem '%s'"
"Edit Poll Answer","Editar resposta da sondagem"
"ID","ID"
"Invalid Answer.","Resposta inválida."
"New Poll","Nova sondagem"
"Number of Responses","Número de respostas"
"Open","Ativa"
"Poll Answers","Respostas à sondagem"
"Poll Information","Informação da sondagem"
"Poll Manager","Gestão de sondagens"
"Poll Question","Título da sondagem"
"Poll information","Informação da sondagem"
"Poll with the same question","Sondagem com a mesma pergunta"
"Polls","Sondagens"
"Save Answer","Guardar resposta"
"Save Poll","Guardar sondagem"
"Status","Estado"
"The answer has been saved.","A resposta foi guardada."
"The poll does not exist.","A sondagem não existe."
"Unable to find an answer to delete.","Não foi possível encontrar a resposta para remover."
"Visible In","Visível em"
"Vote","Votar"
"Votes Count","Total votos"
"Votes Count:","Total votos:"
