" Select Shipping Method","Selecione o método de envio"
"<br/>Trace confirmation request:<br/>%s","<br/>Registo pedido confirmação:<br/>%s"
"Access Key","Chave de acesso"
"Access Key ID","ID da chave de acesso"
"Amazon Simple Pay","Amazon Simple Pay"
"Amazon Simple Pay notification error","Notificação Erro Amazon Simple Pay"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Erro ao cativar confirmação: montante do pedido de confirmação não é igual ao montante da encomenda"
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Erro ao cativar confirmação: O montante na fatura não coincide com o da confirmação do pedido"
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Erro ao cativar confirmação: O ID de transação existente não coincide com o do pedido"
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Amazon Simple Pay. O valor da fatura foi cativada automaticamente."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Erro confirmação serviço Amazon Simple Pay. Violação de sequência de estados de encomenda"
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Erro confirmação serviço Amazon Simple Pay: A moeda da encomenda não coincide com o do peido IPN"
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Erro confirmação serviço Amazon Simple Pay: A encomenda especificada no IPN não foi encontrada"
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Erro confirmação serviço Amazon Simple Pay: o método de pagamento da encomenda não é Amazon Simple Pay"
"Amazon Simple Pay service confirmed capture for invoice %s.","Confirmada captura do serviço Amazon Simple Pay para a encomenda %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Confirmada devolução para nota de crédito pelo serviço Amazon Simple Pay %s."
"Amazon Simple Pay service has confirmed amount authorization.","O serviço Amazon Simple Pay confirmou autorização para o montante."
"Amazon Simple Pay service has confirmed cancelation.","O serviço Amazon Simple Pay confirmou o cancelamento"
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","O serviço Amazon Simple Pay confirmou a captura para a fatura %s. A fatura foi automaticamente capturada."
"Amazon Simple Pay service has confirmed capture initiation.","O serviço Amazon Simple Pay confirmou o início da captura de fundos"
"Amazon Simple Pay service has confirmed capture.","O serviço Amazon Simple Pay confirmou a cativação"
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","O serviço Amazon Simple Pay confirmou a cativação de pagamento. Fatura %s foi criada automaticamente após confirmação."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","O serviço Amazon Simple Pay confirmou a cativação de pagamento. Fatura criada automaticamente."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","O serviço Amazon Simple Pay confirmou a devolução de pagamento. Nota de Crédito %s foi criada automaticamente após confirmação."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","O serviço Amazon Simple Pay confirmou a devolução de pagamento. Nota de Crédito criada automaticamente."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","O serviço Amazon Simple Pay confirmou a devolução pagamento. A nota de crédito foi criada automaticamente."
"Amazon Simple Pay service has confirmed refund.","O serviço Amazon Simple Pay confirmou a devolução."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","O serviço Amazon Simple Pay confirmou a devolução. A nota de Crédito foi processada automaticamente."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","O serviço Amazon Simple Pay confirmou a devolução para a Nota de Crédito %s. A Nota de Crédito foi processada automaticamente."
"Amazon Simple Pay service is not available. Payment was not processed.","O serviço Amazon Simple Pay não está disponível. O pagamento não foi processado."
"Amazon Simple Pay service payment confirmation has failed.","Falha na confirmação de pagamento do serviço Amazon Simple Pay."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Erro na confirmação de reembolso do serviço Amazon Simple Pay; o total na nota de crédito existente não coincide com o total no pedido de confirmação."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Erro na confirmação de reembolso do serviço Amazon Simple Pay; o total do pedido de confirmação não coincide com o total do pedido."
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","Erro na confirmação de reembolso do serviço Amazon Simple Pay; o ID da transação na nota de crédito existente não coincide com o ID da transação no pedido de confirmação."
"Authorize Only","Somente Autorizar"
"Authorize and Capture","Autorizar e Controlar"
"Cancel Description","Descrição de Cancelamento"
"Cancel Order Notification received from Checkout by Amazon service.","Notificação de Cancelamento de Pedido recebida do serviço Checkout da Amazon."
"Checkout by Amazon","Checkout da Amazon"
"Continue Shopping","Continuar Comprando"
"Customer was redirected to Amazon Simple Pay site","O cliente foi redirecionado ao site do Amazon Simple Pay"
"Debug","Debug"
"Debug Log","Registro de debug"
"Email Sender","Remetente do e-mail:"
"Enable","Ativar"
"Error Log","Registro de erro"
"FPS Sandbox Service URI","Serviço de Sandbox FPS URI"
"FPS Service URI","Serviço FPS URI"
"Immediate Return","Retorno imediato"
"Invalid action code.","Código de ação inválido."
"Invalid request.","Pedido inválido."
"Invoice was created with Checkout by Amazon.","A fatura foi criada com o Checkout da Amazon."
"Merchant ID","Identificação do comerciante"
"Merchant Login","Login do comerciante"
"Merchant Name","Nome do do comerciante"
"Merchant Password","Senha do comerciante"
"Merchant Token","Token do comerciante"
"Method Choice Checkout Message","Mensagem do Checkout sobre Escolha de Método"
"New Order Notification received from Checkout by Amazon service.","Nova Notificação de pedido recebido do serviço Checkout da Amazon."
"New Order Status","Status do Novo Pedido"
"Notification Error Transactional Email","E-mail de Transação de Erro em Notificação"
"Order Ready To Ship Notification received form Checkout by Amazon service.","Aviso de pedido pronto para ser despachado recebido do serviço Checkout da Amazon."
"Order was canceled with Checkout by Amazon.","O pedido foi cancelado com o Checkout da Amazon."
"Payment Action","Ação de Pagamento"
"Payment Description","Descrição do pagamento"
"Payment Sandbox Service URI","Serviço de Sandbox de Pagamento URI"
"Payment Service URI","Serviço de Pagamento URI"
"Payment authorization canceled with Amazon Simple Pay service.","Autorização de pagamento cancelada com o serviço Amazon Simple Pay."
"Pending Amazon Simple Pay","Amazon Simple Pay pendente"
"Redirect Message","Redirecionar mensagem"
"Refund Description","Descrição do reembolso"
"Refund was created with Checkout by Amazon.","O reembolso foi criado pelo Checkout da Amazon."
"Report Email","Relatar E-mail"
"Report Error to Email","Relatar Erro ao E-mail"
"Response body is not a valid FPS response.","O corpo da resposta não é uma resposta FPS válida."
"SUCCESS","SUCESSO"
"Sandbox","Entorno de pruebas"
"Secret Key","Chave secreta"
"Secret Key ID","ID da chave secreta"
"Shipment was created with Checkout by Amazon.","A remessa foi criada com o Checkout da Amazon."
"Thank you for your purchase!","Obrigado por sua compra!"
"The customer has canceled payment and successfully returned from Amazon Simple Pay site","O cliente cancelou o pagamento e foi retornado com sucesso do site do Amazon Simple Pay"
"The customer has successfully returned from Amazon Simple Pay site","O consumidor foi retornado com sucesso do site do Amazon Simple Pay"
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.","A fatura foi criada (recebimento on-line). Aguardando confirmação de recebimento do serviço Amazon Simple Pay."
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s","A fatura não foi reembolsada. Erro no serviço Amazon Simple Pay: [%s] %s"
"The item specified in callback request XML was not found in quote.","O item especificado no pedido de retorno XML não foi encontrado na citação."
"The order was not canceled. Amazon Simple Pay service error: [%s] %s","O pedido não foi cancelado. Erro no serviço Amazon Simple Pay: [%s] %s"
"The order was not captured online. Authorization confirmation is required.","O pedido não foi recebido on-line. É necessária uma confirmação de autorização."
