"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" não está disponível na quantidade pedida. %s dos itens serão cancelados."
"%s is available for purchase in increments of %s only.","%s apenas está disponível para compra em múltiplos de %s"
"%s is not a correct comparsion method.","%s não é um método correto de comparação."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> que esta definições são aplicadas a cada item do carinho e não a todo o carrinho."
"Add Minimum Qty","Adicionar Qtd Mínima"
"Allow Qty Below 0","Permitir Qts. abaixo de 0"
"Allow Qty Below 0 and Notify Customer","Permitir Qts. abaixo de 0 e Notificar Cliente"
"Automatically Return Credit Memo Item to Stock","Repor Automaticamente em Inventário um Item de Nota de Crédito"
"Backorders","Encomendas em produção"
"By Fixed value","Por valor fixo"
"By Percentage","Por percentagem"
"Cannot specify product identifier for the order item.","Não foi possível especificar o identificador para o item da encomenda."
"Catalog Inventory","Disponibilidade do Catálogo"
"Decrease Stock When Order is Placed","Diminuir o inventário quando é realizada uma encomenda"
"Display Out of Stock Products","Mostrar Produtos Indisponíveis"
"Display products availability in stock in the frontend","Mostrar disponibilidade dos produtos na loja"
"Enable Qty Increments","Ativar Múltiplos de Quantidade"
"In Stock","Disponível"
"Index Product Stock Status","Estado do Índice de Inventário do Produto"
"Inventory","Inventário"
"Inventory API","API Inventário"
"Inventory Section","Secção de Inventário"
"Manage Stock","Gerir Stock"
"Maximum Qty Allowed in Shopping Cart","Qt. Máxima Permitida no Carrinho de Compras"
"Minimum Qty","Qt. Mínima"
"Minimum Qty Allowed in Shopping Cart","Qt. Mínima Permitida no Carrinho de Compras"
"Multi update product stock data","Atualização múltipla dados de stock de produtos"
"No Backorders","Não ativar"
"Not all products are available in the requested quantity","Nem todos os produtos estão disponíveis na quantidade solicitada"
"Notify for Quantity Below","Notificar para quantidade abaixo"
"Only %s left","Restam apenas %s"
"Only X left Threshold","Lime de apenas X restam"
"Out of Stock","Indisponível"
"Product Name","Nome Produto"
"Product Stock Options","Opções de Stock de Produtos"
"Products will still be shown by direct product URLs.","Os produtos ainda serão visivéis através de acesso direto URL"
"Qty","Qtd"
"Qty Increments","Múltiplos Qt."
"Qty for Item's Status to Become Out of Stock","Qt. para o Estado ficar Indisponível"
"Retrieve stock data","Obter informação de disponibilidade"
"Retrieve stock data by product ids","Obter informação de disponibilidade através do id dos produtos"
"Rule price","Desconto"
"Set Items' Status to be In Stock When Order is Cancelled","Definir Estado dos Itens como disponíveis quando uma Encomenda é Cancelada"
"Some of the products are currently out of stock.","Alguns produtos estão atualmente indisponíveis"
"Some of the products cannot be ordered in requested quantity.","Alguns dos produtos não podem ser encomendados na quantidade pretendida."
"Some of the products cannot be ordered in the requested quantity.","Alguns dos produtos não podem ser encomendados na quantidade pretendida."
"Stock Options","Opções de inventário"
"Stock Status","Estado do Stock"
"The maximum quantity allowed for purchase is %s.","A quantidade máxima permitida para compra é %s."
"The minimum quantity allowed for purchase is %s.","A quantidade mínima permitida para compra é %s."
"The requested quantity for ""%s"" is not available.","A quantidade pedida para ""%s"" não está disponível"
"The stock item for Product in option is not valid.","O item de inventário para o produção em opção não é válido."
"The stock item for Product is not valid.","O item de inventário para o Produto não é válido."
"This product is available for purchase in increments of %s only.","Este produto apenas se encontra disponível para compra em múltiplos de %s"
"This product is currently out of stock.","Este produto não se encontra disponível de momento"
"This product is not available in the requested quantity. %s of the items will be backordered.","Este produto não se encontra disponível na quantidade pretendida. %s unidades serão colocadas em produção."
"To Fixed Value","Para valor fixo"
"To Percentage","Para percentagem"
"Undefined product type.","Tipo de produto indefinido."
"Update","Atualizar"
"Update product stock data","Atualizar informação de disponibilidade de produtos"
"Update the Product","Atualizar o produto"
