"Are You Sure?","Você tem certeza?"
"Store","Loja"
"Shipping Address","Endereço para envio"
"Dashboard","Painel de controle"
"Dashboard Control","Painel de controle"
"=========","== Mage-Connect.csv ======="
"1.5.0.0 & later","1.5.0.0 e posterior"
"Action","Ação"
"Add Author","Adicionar autor"
"Add Contents Path","Adicionar conteúdo trajetória"
"Add PHP Extension dependency","Adicionar extensão PHP dependência"
"Add Package dependency","Adicionar dependência package"
"Add files","Adicionar arquivo"
"Authors","Autores"
"Channel","Canal"
"Contents","Conteúdo"
"Create Extension Package","Criar pacote de extensão"
"Dependencies","Dependências"
"Edit Extension","Editar extensão"
"Extension","Extensão"
"Extensions","Extensões"
"Failed to create the package.","Não foi possível criar o pacote."
"Failed to load the package data.","Não foi possível carregar os dados do pacote."
"Failed to save the package.","Não foi possível salvar o pacote."
"Files","Arquivos"
"Folder","Pasta/Path"
"Ignore","Ignorar"
"Include","Incluir"
"License","Licença"
"License URI","Licença URI"
"Load Local Package","Carregar pacote local"
"Load local Package","Carregar pacote local"
"Max","Máximo"
"Maximum","Máximo"
"Min","Mínimo"
"Minimum","Mínimo"
"New Extension","Nova extensão"
"PHP Version","Versão do PHP"
"Package File Name","Nome do arquivo de pacote"
"Package Info","Informação de pacote"
"Packages","Pacotes"
"Path","Rota"
"Pre-1.5.0.0","1.5.0.0 anterior"
"Release Info","Informações sobre a versão"
"Remove","Remover"
"Save As...","Salvar como..."
"Save Data and Create Package","Salvando e criar pacote"
"Save package with custom package file name","Salvar arquivo pacote pacote nome personalizado"
"Summary","Resumo"
"Supported releases","Publicações suportados"
"Target","Alvo"
"The package %s data has been loaded.","Os dados do pacote %s foi carregado."
"The package data has been saved.","Os pacotes de dados armazenados."
"There was a problem saving package data","Houve um problema em salvar os dados do pacote."
"Type","Tipo"

