"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (powered by Moneybookers) - Itália"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (distribuído por Moneybookers) - França"
"Customer ID","ID do cliente"
"Dankort (powered by Moneybookers) - Denmark","Dankort (distribuído por Moneybookers) - Dinamarca"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (distribuído por Moneybookers) - Áustria"
"Enabled","Ativado"
"Find out more about Online Bank Transfer","Saiba mais sobre Transferência Bancária Online"
"Giropay (powered by Moneybookers) - Germany","Giropay (distribuído por Moneybookers) - Alemanha"
"Laser (powered by Moneybookers) - Ireland","Laser (distribuído por Moneybookers) - Ireland"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (distribuído por Moneybookers) - Alemanha"
"Loading secure payment page (SSL)","Carregando da página de pagamento seguro (SSL)"
"Maestro (powered by Moneybookers) - United Kingdom, Austria, Spain","Maestro (distribuído por Moneybookers) - Reino Unido, Áustria, Espanha"
"Moneybookers","Moneybookers"
"Moneybookers Settings","Configuração Moneybookers"
"Moneybookers Transaction ID: %s","ID da transação Moneybookers: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Mais informações sobre Moneybookers"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (distribuído por Moneybookers) - Finlândia"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (distribuído por Moneybookers) - Suécia"
"Online Bank Transfer (powered by Moneybookers)","Online Bank Transfer (distribuído por Moneybookers)"
"Order ID","ID da encomenda"
"POLi (powered by Moneybookers) - Australia","POLi (distribuído por Moneybookers) - Austrália"
"Payment failed.","Pagamento falhou."
"Payment from Applicable Countries","Pagamento de países aplicáveis"
"Payment from Specific Countries","Pagamento de países específicos"
"Payment has not been processed yet.","O pagamento ainda não tiver sido processada."
"Payment was canceled.","O pagamento foi cancelado."
"Pending bank transfer created.","Ela criou uma transferência bancária pendente."
"Please pay your order now","Por favor, pagar a sua encomenda agora"
"Postepay (powered by Moneybookers) - Italy","Postepay (distribuído por Moneybookers) - Itália"
"Powered by Moneybookers","Desenvolvido por Moneybookers"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (distribuído por Moneybookers) - Polônia"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (distribuído por Moneybookers) - Alemanha"
"Sort Order","Ordenação"
"The amount has been authorized and captured by Moneybookers.","O montante foi autorizado e capturado por Moneybookers."
"The customer was redirected to Moneybookers.","O cliente foi redirecionado para Moneybookers."
"The order has been canceled.","O pedido foi cancelado."
"Title","Título"
"You will be redirected to our secure payment page when you place an order.","Você será redirecionado para a página de pagamento seguro quando você faz um pedido."
"eNETS (powered by Moneybookers) - Singapore","eNETS (distribuído por Moneybookers) - Cingapura"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (distribuído por Moneybookers) - Holanda"
