"10 minutes","10 minutos"
"15 minutes","15 minutos"
"20 minutes","20 minutos"
"30 minutes","30 minutos"
"5 minutes","5 minutos"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (tarefas agendadas) - Todos os tempos em minutos"
"Daily","Diariamente"
"Failure History Lifetime","Tempo de vida para histórico de erro"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.",""Para gerar URL's corretas durante a execução de tarefas"," por favor confirme que web> Url base seguras e não seguras estão bem definidas.""
"Generate Schedules Every","Gerar agendamentos a cada"
"History Cleanup Every","Limpar o histórico a cada"
"Hourly","A cada hora"
"Invalid callback: %s::%s does not exist","Callback inválido: %s::%s não existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definição de modelo/método inválido, esperando ""model/class::method""."
"Minute Intervals","Intervalos em minutos"
"Missed if Not Run Within","Falha se não correr em"
"Monthly","Mensal"
"No callbacks found","Não foram encontrados callbacks"
"Schedule Ahead for","Agendar previamente para"
"Success History Lifetime","Tempo de vida para histórico de sucesso"
"Too late for the schedule.","Demasiado tarde para agendar."
"Unable to delete the cron task.","No se puede borrar la tarea programada."
"Unable to save the cron expression.","Não foi possível guardar a expressão cron"
"Unknown error.","Falha desconhecida."
"Weekly","Semanal"
